date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:51	24/24	---M--	200	added ('OK')	text/plain	etag:%2260680578-18%22	https://op9.baminssa.com/robots.txt		(from )
22:31:51	1617108/1617108	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:31:44%20GMT	https://op9.baminssa.com/	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/index.html	(from )
22:31:52	44/44	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Mar%202023%2013:31:44%20GMT	https://op9.baminssa.com/project/bs/images/favicon.png?v=1	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/project/bs/images/favicon3860.png	(from https://op9.baminssa.com/)
22:31:52	44/44	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Mar%202023%2013:31:44%20GMT	https://op9.baminssa.com/project/bs/images/favicon.ico?v=1	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/project/bs/images/favicon3860.ico	(from https://op9.baminssa.com/)
22:31:52	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225fff7431-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.2/css/all.min.css	C:/My%20Web%20Sites/baminsa/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.2/css/all.min.css	(from https://op9.baminssa.com/)
22:31:52	5271/5271	---MCZ	200	added ('OK')	text/css	etag:W/%2261147ac3-1497%22	https://op9.baminssa.com/css/global.css?v=43	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/css/global5de1.css	(from https://op9.baminssa.com/)
22:31:53	269844/269844	---MCZ	200	added ('OK')	text/css	etag:W/%2261147ac3-41e14%22	https://op9.baminssa.com/project/bs/css/app.css?=43	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/project/bs/css/app3bf3.css	(from https://op9.baminssa.com/)
22:31:53	38494/38494	---MCZ	200	added ('OK')	text/css	etag:W/%22637c8688-965e%22	https://op9.baminssa.com/project/bs/css/service.css?=43	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/project/bs/css/service3bf3.css	(from https://op9.baminssa.com/)
22:31:53	7080/7080	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b8c0ed-1ba8%22	https://op9.baminssa.com/js/global.js?v=43	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/js/global5de1.js	(from https://op9.baminssa.com/)
22:31:53	267174/267174	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b8c0ed-413a6%22	https://op9.baminssa.com/project/bs/js/app.js?v=43	C:/My%20Web%20Sites/baminsa/op9.baminssa.com/project/bs/js/app5de1.js	(from https://op9.baminssa.com/)
